,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율,부도여부
4120,0.08126557981386466,103.8,3.29,1.02,33.32,1.17,0.016951669758599203,0.011576452764362298,0.5289715836314284,0.0
4121,0.1479576266001797,104.59,2.15,0.96,27.17,0.45,0.011950783965610076,0.004506353527649533,0.5283962261154967,0.0
4122,0.1709385148897297,106.1,0.8,0.84,28.82,2.74,0.004492297111014725,0.026920712293849517,0.4776564128440567,0.0
4123,0.5835185062779609,102.86,8.64,0.86,24.68,5.6,0.04800327519462702,0.05459325598784274,0.4868052750782507,0.0
4125,0.3562249243751113,79.97,16.59,1.79,8.38,7.46,0.10672474350438188,0.06995210425192806,1.2279673307474241,0.0
4126,0.42774122455395197,82.85,26.8,1.73,6.01,9.88,0.1640318473112799,0.08568640306445499,1.217623055338757,0.0
4127,-4.010546102281984,99.07,23.92,1.19,1.84,20.48,0.2906945147875466,0.3228557246719587,0.9160552416266006,0.0
4128,1.1093821247934619,104.08,26.58,0.3,3.99,24.75,0.2118196132099638,0.2183150970231648,0.26698620128974165,0.0
4129,3.327934704443087,101.39,11.88,0.14,1.9,11.46,0.11304653292899842,0.11899303827074872,0.13246880883174644,0.0
4130,0.6995748011446367,106.75,5.08,0.07,6.75,5.17,0.0419435896132573,0.04646094248281491,0.06642044170435836,0.0
4131,0.7016174823644465,104.48,3.78,0.06,4.49,4.68,0.03464782028155211,0.0469325821606882,0.058821620346130164,0.0
4132,3.6431971947249466,100.83,5.05,0.07,0.61,5.56,0.04770737640694928,0.05573072344168868,0.06577469485632659,0.0
4133,4.102466422340282,99.12,3.46,0.05,0.0,3.56,0.03258784112731515,0.034765067002592555,0.04393887227379845,0.0
4134,5.144034736847249,97.65,2.73,0.03,0.0,2.73,0.026375504192928625,0.027247688452563142,0.03383147450409468,0.0
4136,0.01846563943628701,122.14,-3.83,1.39,27.93,-1.54,-0.020077663719136756,-0.01502526111284924,0.7455981346741369,0.0
4137,0.09599061555186417,127.47,-5.76,3.24,38.95,-3.12,-0.014270753133454982,-0.023069204723589243,1.0870587888904026,0.0
4138,-0.3205953572716713,108.19,-15.19,3.22,46.31,-6.04,-0.03412277695750054,-0.048638744331919566,0.8998253288519605,0.0
4139,-0.10354475083848157,116.88,10.76,3.67,49.46,5.11,0.03383733179013794,0.05090379183066066,1.1576181116701878,0.0
4140,0.5270807570416297,110.57,20.12,3.59,37.79,12.33,0.06897926754654654,0.11775165535579127,1.2875538725284477,0.0
4141,0.2959092828220343,98.46,13.04,3.04,25.1,7.8,0.058514469740968515,0.07898569457766658,1.3455185809414465,0.0
4142,0.17918383898400225,98.44,7.51,2.82,28.16,8.56,0.036014503091410265,0.08293899688936428,1.396477322148074,0.0
4143,0.18619111255486406,106.7,7.31,2.68,23.75,6.93,0.03608709917274013,0.06914029383182617,1.3278889072956541,0.0
4144,0.2886609606451759,96.31,5.16,2.67,21.22,3.72,0.025747017014042105,0.03697215313272971,1.3391745242244493,0.0
4145,0.11308717232394158,99.56,5.47,2.47,20.12,4.72,0.027881006290170908,0.046714438041574526,1.2703874311860193,0.0
4147,0.5618720217255587,105.04,14.68,1.45,30.76,9.28,0.060863563278819886,0.0812370901526706,0.6879766932848996,0.0
4148,1.81246965133849,92.89,27.81,1.86,16.87,22.28,0.10281872105785984,0.1918882035794849,0.7972325209229308,0.0
4149,0.8821923768188036,87.32,28.4,1.55,24.25,16.67,0.11454548051611795,0.15988697247552092,0.6515523759644751,0.0
4150,1.0374252939800008,92.82,34.86,1.47,17.5,18.79,0.1446566858791463,0.16806871436278556,0.6834023252361604,0.0
4151,1.6556650878269372,82.54,26.95,1.26,10.06,18.09,0.12874605400774855,0.1585388769615367,0.6863997550617316,0.0
4152,0.04054175467410991,80.76,1.57,0.72,24.64,-0.24,0.008835883283598571,-0.0023111132936070354,0.415240599203962,0.0
4153,-0.04421138886675136,91.55,-9.6,0.69,20.84,-3.19,-0.05341893102388857,-0.03248036425786168,0.3766646382321221,0.0
